"Date","Price","Open","High","Low","Change %"
"24/05/2024","5.278","5.256","5.282","5.273","-0.15%"
"23/05/2024","5.286","5.261","5.291","5.262","0.36%"
"22/05/2024","5.267","5.240","5.284","5.259","1.84%"
"21/05/2024","5.172","5.156","5.187","5.165","-4.01%"
"20/05/2024","5.388","5.181","5.388","5.198","3.30%"
"17/05/2024","5.216","5.176","5.218","5.187","0.50%"
"16/05/2024","5.190","5.171","5.190","5.170","0.15%"
"15/05/2024","5.182","5.199","5.223","5.173","-0.94%"
"14/05/2024","5.231","5.213","5.231","5.231","0.46%"
"10/05/2024","5.207","5.195","5.225","5.192","-0.13%"
"09/05/2024","5.214","5.205","5.233","5.209","-0.10%"
"08/05/2024","5.219","5.204","5.248","5.219","-4.48%"
"07/05/2024","5.464","5.235","5.464","5.245","3.92%"
"03/05/2024","5.258","5.230","5.271","5.236","0.25%"
"02/05/2024","5.245","5.235","5.255","5.227","-0.13%"
"01/05/2024","5.252","5.240","5.267","5.248","-0.06%"
"30/04/2024","5.255","5.268","5.296","5.239","-0.53%"
"29/04/2024","5.283","5.265","5.283","5.283","0.34%"
"26/04/2024","5.265","5.251","5.275","5.262","-0.32%"
"25/04/2024","5.282","5.203","5.288","5.220","0.99%"
"24/04/2024","5.230","5.263","5.283","5.223","-0.72%"
"23/04/2024","5.268","5.215","5.274","5.218","0.88%"
"22/04/2024","5.222","5.210","5.229","5.220","-0.40%"
"19/04/2024","5.243","5.264","5.291","5.236","-0.29%"
"18/04/2024","5.258","5.237","5.271","5.242","-0.13%"
"17/04/2024","5.265","5.259","5.296","5.230","0.15%"
"16/04/2024","5.257","5.283","5.305","5.246","-4.35%"
"15/04/2024","5.496","5.219","5.496","5.238","5.03%"
"12/04/2024","5.233","5.202","5.247","5.216","-0.23%"
"11/04/2024","5.245","5.252","5.275","5.227","0.29%"
"10/04/2024","5.230","5.159","5.230","5.169","0.95%"
"09/04/2024","5.181","5.164","5.187","5.178","-4.07%"
"08/04/2024","5.401","5.216","5.401","5.209","3.37%"
"05/04/2024","5.225","5.167","5.227","5.185","0.60%"
"04/04/2024","5.194","5.211","5.233","5.181","-0.80%"
"03/04/2024","5.236","5.223","5.243","5.232","-0.02%"
"02/04/2024","5.237","5.202","5.237","5.222","0.36%"
"28/03/2024","5.218","5.186","5.225","5.196","0.52%"
"27/03/2024","5.191","5.176","5.199","5.191","-0.21%"
"26/03/2024","5.202","5.215","5.244","5.198","-0.73%"
"25/03/2024","5.240","5.162","5.455","5.168","1.37%"
"22/03/2024","5.169","5.156","5.181","5.167","0.14%"
"21/03/2024","5.162","5.190","5.190","5.162","-0.92%"
"20/03/2024","5.210","5.214","5.214","5.210","-0.34%"
"19/03/2024","5.228","5.228","5.228","5.222","-0.49%"
"18/03/2024","5.254","5.256","5.256","5.254","-0.15%"
"15/03/2024","5.262","5.260","5.262","5.260","0.44%"
"14/03/2024","5.239","5.248","5.248","5.239","-0.34%"
"13/03/2024","5.257","5.257","5.257","5.257","-0.02%"
"12/03/2024","5.258","5.241","5.258","5.236","-0.59%"
"11/03/2024","5.289","5.240","5.289","5.225","0.92%"
"08/03/2024","5.241","5.251","5.251","5.241","0.00%"
"07/03/2024","5.241","5.263","5.280","5.241","-0.59%"
"06/03/2024","5.272","5.304","5.308","5.272","-0.60%"
"05/03/2024","5.304","5.304","5.309","5.304","0.95%"
"04/03/2024","5.254","5.265","5.265","5.254","0.04%"
"01/03/2024","5.252","5.267","5.267","5.248","-0.13%"
"29/02/2024","5.259","5.268","5.283","5.259","-0.17%"
"28/02/2024","5.268","5.268","5.268","5.268","-0.09%"
"27/02/2024","5.273","5.258","5.271","5.258","0.46%"
"26/02/2024","5.249","5.236","5.249","5.236","0.32%"
"23/02/2024","5.232","5.260","5.264","5.234","-0.27%"
"22/02/2024","5.246","5.265","5.265","5.246","-0.17%"
"21/02/2024","5.255","5.240","5.253","5.238","0.40%"
"20/02/2024","5.234","5.247","5.247","5.234","-0.21%"
"19/02/2024","5.245","5.249","5.252","5.245","-0.21%"
"16/02/2024","5.256","5.245","5.256","5.245","0.29%"
"15/02/2024","5.241","5.244","5.244","5.241","-0.06%"
"14/02/2024","5.244","5.244","5.244","5.244","-0.17%"
"13/02/2024","5.253","5.285","5.285","5.232","0.54%"
"12/02/2024","5.225","5.230","5.230","5.225","-0.06%"
"09/02/2024","5.228","5.228","5.228","5.228","-0.49%"
"08/02/2024","5.254","5.222","5.233","5.222","0.44%"
"07/02/2024","5.231","5.231","5.231","5.231","0.13%"
"06/02/2024","5.224","5.230","5.230","5.224","0.10%"
"05/02/2024","5.219","5.258","5.260","5.216","-0.50%"
"02/02/2024","5.245","5.191","5.245","5.191","1.35%"
"01/02/2024","5.175","5.179","5.201","5.175","-0.23%"
"31/01/2024","5.187","5.234","5.234","5.187","-1.11%"
"30/01/2024","5.245","5.236","5.243","5.226","0.29%"
"29/01/2024","5.230","5.236","5.236","5.230","-0.15%"
"26/01/2024","5.238","5.253","5.253","5.238","-0.48%"
"25/01/2024","5.263","5.259","5.263","5.246","0.29%"
"24/01/2024","5.248","5.266","5.287","5.248","-0.47%"
